kegglevel3	Wargo.122637.R1	Wargo.120662.R1	Wargo.122410.R1	Wargo.124418.R1	Wargo.133270.R1	Wargo.122639.R1	Wargo.132266.R1	Wargo.109865.R1	Wargo.115690.R1	Wargo.117349.R1	Wargo.121892.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.123009.R1	Wargo.127262.R1	Wargo.127261.R1	Wargo.131300.R1	Wargo.131512.R1	Wargo.121296.R1	Wargo.121585.R1	Wargo.122412.R1	Wargo.123986.R1	Wargo.124419.R1	Wargo.132538.R1	Wargo.132268.R1	Wargo.131302.R1	Wargo.116774.R1	Wargo.121891.R1	Wargo.122114.R1	Wargo.123197.R1	Wargo.124421.R1	Wargo.131051.R1	Wargo.121409.R1	Wargo.118370.R1	Wargo.123704.R1	Wargo.122724.R1	Wargo.123305.R1	Wargo.118369.R1
Cellular_Processes;Cell_Communication;Adherens_junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Communication;Focal_adhesion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Communication;Tight_junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death;Apoptosis	0.000122596310719	2.25418258783e-05	3.92676357027e-05	1.21409771098e-05	4.05926236517e-06	4.01270314811e-06	7.58416884124e-06	3.20491871746e-05	2.86826676901e-05	6.74097849273e-05	0.000162019403177	3.31317607527e-05	1.95586952953e-05	0.000310893483759	1.37580914776e-05	2.05252807032e-06	4.62437766809e-05	9.82727621149e-06	2.063002269e-05	4.06972266372e-05	7.63910924781e-05	1.64405510641e-05	2.89956748118e-05	5.32632152695e-07	6.12222114183e-06	3.55592214001e-05	5.68331166571e-06	3.93591655857e-05	1.72474456533e-06	1.71961382281e-05	1.22741736167e-07	6.80561463207e-07	1.33877206296e-05	6.93738588789e-06	2.37403429663e-05	6.77982955508e-07	5.23536517585e-05	3.81452701582e-07	2.07993791666e-05	4.02660336578e-07	3.52682743004e-07	3.59190163327e-05	1.83663754355e-05
Cellular_Processes;Cell_Growth_and_Death;Cell_cycle	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01990617536e-07	1.01368097635e-06	2.08251160896e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06323211247e-06	0.0	0.0	0.0	0.0	0.0	0.0	4.83081491585e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35382016154e-07	0.0
Cellular_Processes;Cell_Growth_and_Death;Cell_cycle_-_Caulobacter	0.0048191666695	0.00494641200479	0.00492958502913	0.00502988932324	0.00440358332579	0.00435859815948	0.00500519868318	0.00609035498639	0.00498714834696	0.00535730396001	0.00546097019218	0.00481088943158	0.00549506201154	0.00658146864704	0.00524893380339	0.00504488593816	0.00502180326349	0.00481536534363	0.00440572337506	0.00450054438011	0.00548537902981	0.00482578528292	0.00502591696739	0.0046040723279	0.00492874814983	0.00484499357947	0.00495939984229	0.00481621789618	0.00644422061093	0.00483488841278	0.00463386876552	0.00500621012335	0.00508293501677	0.00474222881391	0.00472840862175	0.0050150399219	0.00478548902876	0.00504814505273	0.00478947866216	0.00509858584683	0.00489999768993	0.00519280130667	0.00590975358777
Cellular_Processes;Cell_Growth_and_Death;Cell_cycle_-_yeast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death;Meiosis_-_yeast	9.2418757311e-06	3.98079052745e-05	5.45872962683e-06	2.93733317171e-05	0.00038312273323	4.86874648638e-05	7.23141680211e-06	9.33716476739e-06	0.000103823177413	2.06115131858e-05	2.10333672505e-05	4.73310867896e-05	1.9093012074e-05	2.01520983932e-05	4.19399885364e-05	0.000144817258295	2.16707238002e-05	2.04909163559e-05	6.55306603094e-05	5.68885963745e-06	4.59414961756e-05	1.12182583731e-05	5.882455867e-05	4.79368937425e-06	7.43669803405e-05	9.47583721108e-05	2.5432819704e-05	1.43996947265e-05	1.00610099644e-05	1.03546638793e-05	1.84112604251e-06	3.76010208422e-05	1.28139611741e-05	1.53463384793e-05	2.29984572487e-05	6.77982955508e-06	3.4496592244e-06	4.88259458024e-05	1.01186168919e-05	0.0	4.40853428755e-06	5.20281509304e-05	1.88627639608e-05
Cellular_Processes;Cell_Growth_and_Death;Oocyte_meiosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death;p53_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44972902618e-05	0.0	2.76098006273e-05	0.0	0.000294013948352	0.0	0.0	0.0	0.0	0.0	1.75041834999e-06	5.25300053171e-05	0.0	0.0	0.0	0.0	2.78116815419e-06	0.0	9.59979648431e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.74021428066e-06	1.90726350791e-07	0.0	0.0	0.0	0.0	0.0
