PID	Study	Species	WGSID	abWGS	16SID	ab16SrRNA
109865	Gopalakrishnan	s__Akkermansia_muciniphila	ERR2162200	0.00694614108333177	Wargo.109865	0
109865	Gopalakrishnan	s__Bacteroides_fragilis	ERR2162200	0	Wargo.109865	0
109865	Gopalakrishnan	s__Bacteroides_ovatus	ERR2162200	2.39354613413719	Wargo.109865	1.6875
109865	Gopalakrishnan	s__Bacteroides_vulgatus	ERR2162200	1.94515971570465	Wargo.109865	6.275
109865	Gopalakrishnan	s__Clostridium_scindens	ERR2162200	0	Wargo.109865	0.0125
109865	Gopalakrishnan	s__Faecalibacterium_prausnitzii	ERR2162200	0	Wargo.109865	0
109865	Gopalakrishnan	s__Methanobrevibacter_smithii	ERR2162200	0	Wargo.109865	0
109865	Gopalakrishnan	s__Parabacteroides_distasonis	ERR2162200	8.03645502989193	Wargo.109865	1.4
109865	Gopalakrishnan	s__Roseburia_hominis	ERR2162200	0	Wargo.109865	0
109865	Gopalakrishnan	s__Roseburia_intestinalis	ERR2162200	0.109296629149831	Wargo.109865	0.075
109865	Gopalakrishnan	s__Roseburia_inulinivorans	ERR2162200	0.310384410857639	Wargo.109865	0.1875
109865	Gopalakrishnan	s__Ruminococcus_bromii	ERR2162200	0	Wargo.109865	0
115690	Gopalakrishnan	s__Akkermansia_muciniphila	ERR2162201	4.58629881980434	Wargo.115690	5.425
115690	Gopalakrishnan	s__Bacteroides_fragilis	ERR2162201	0.238557878757081	Wargo.115690	0.125
115690	Gopalakrishnan	s__Bacteroides_ovatus	ERR2162201	1.75962798066791	Wargo.115690	0.5
115690	Gopalakrishnan	s__Bacteroides_vulgatus	ERR2162201	2.91793022468268	Wargo.115690	11.7
115690	Gopalakrishnan	s__Clostridium_scindens	ERR2162201	0	Wargo.115690	0
115690	Gopalakrishnan	s__Faecalibacterium_prausnitzii	ERR2162201	4.78075854054078	Wargo.115690	2.95
115690	Gopalakrishnan	s__Methanobrevibacter_smithii	ERR2162201	0	Wargo.115690	0
115690	Gopalakrishnan	s__Parabacteroides_distasonis	ERR2162201	0.181414057500543	Wargo.115690	0.1
115690	Gopalakrishnan	s__Roseburia_hominis	ERR2162201	0.0449116289383542	Wargo.115690	0
115690	Gopalakrishnan	s__Roseburia_intestinalis	ERR2162201	0	Wargo.115690	0
